"","block","image","condition","direction","subject","response","correct","switch","switchType","rt","participant_number_fl","participant_number","child_adult_group","age_group","test_date","age_months","age_years_months","gender","list","computer_fl","comments_nw","comments_fl","exclude"
"1704","test","nogo_left.jpg","nogo","left",20032345,NA,1,0,"xx",-1,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1705","test","con_right.jpg","congruent","right",20032345,"right",1,1,"xc",1.532,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1706","test","con_left.jpg","congruent","left",20032345,"left",1,0,"cc",1.131,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1707","test","in_left.jpg","incongruent","left",20032345,"left",1,1,"ci",2.945,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1708","test","in_left.jpg","incongruent","left",20032345,"left",1,0,"ii",1.482,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1709","test","con_left.jpg","congruent","left",20032345,"left",1,1,"ic",1.914,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1710","test","con_left.jpg","congruent","left",20032345,"left",1,0,"cc",2.297,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1711","test","nogo_left.jpg","nogo","left",20032345,NA,1,1,"cx",-1,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1712","test","nogo_right.jpg","nogo","right",20032345,NA,1,0,"xx",-1,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1713","test","con_left.jpg","congruent","left",20032345,"left",1,1,"xc",1.314,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1714","test","in_right.jpg","incongruent","right",20032345,"right",1,1,"ci",1.181,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1715","test","in_right.jpg","incongruent","right",20032345,"right",1,0,"ii",1.314,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1716","test","con_right.jpg","congruent","right",20032345,"right",1,1,"ic",3.197,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
